
    48 atoms
    72 bonds
    1 atom types
    1 bond types

    -20.000000 20.000000 xlo xhi
    -20.000000 20.000000 ylo yhi
    -20.000000 20.000000 zlo zhi

    Atoms 

    1 1 -11.689721 6.419333 -6.981962 1 
2 1 -11.126590 6.921757 -8.089040 1 
3 1 -10.369051 6.059990 -8.842067 1 
4 1 -10.264544 4.676086 -8.515421 1 
5 1 -9.100505 4.024510 -8.799424 1 
6 1 -9.471251 7.888174 -9.957013 1 
7 1 -9.541798 6.561465 -9.864906 1 
8 1 -8.595392 5.658623 -10.356529 1 
9 1 -8.316712 4.493410 -9.749268 1 
10 1 -8.405213 8.384708 -10.719981 1 
11 1 -11.034972 8.343473 -8.197561 1 
12 1 -11.484063 9.140460 -7.182997 1 
13 1 -10.060915 8.828241 -9.104599 1 
14 1 -7.001782 4.757322 -9.092668 1 
15 1 -6.427509 5.754120 -9.652707 1 
16 1 -7.262907 4.822252 -7.660227 1 
17 1 -8.306139 3.878055 -7.494843 1 
18 1 -9.236788 4.143163 -6.503958 1 
19 1 -6.212541 6.990910 -8.979901 1 
20 1 -6.764644 7.173480 -7.787036 1 
21 1 -7.503042 6.096532 -7.169268 1 
22 1 -8.325468 6.271518 -6.112415 1 
23 1 -9.115516 5.228631 -5.652970 1 
24 1 -8.750205 7.577919 -5.778022 1 
25 1 -9.806516 7.797225 -4.872651 1 
26 1 -10.580744 8.985600 -5.097197 1 
27 1 -9.960127 10.027885 -5.714274 1 
28 1 -7.282287 8.470128 -7.433737 1 
29 1 -8.050832 8.715108 -6.313416 1 
30 1 -8.666756 9.931029 -6.153489 1 
31 1 -10.740467 6.732312 -4.849746 1 
32 1 -10.378215 5.559504 -5.250176 1 
33 1 -11.227760 5.168325 -6.442597 1 
34 1 -10.559059 4.360967 -7.189089 1 
35 1 -11.701636 8.536091 -5.958874 1 
36 1 -11.806965 7.244972 -5.835203 1 
37 1 -9.971031 10.803967 -7.811755 1 
38 1 -10.785557 10.328180 -6.854769 1 
39 1 -7.753522 10.698666 -8.262755 1 
40 1 -8.616640 10.983005 -7.211525 1 
41 1 -6.257778 7.990798 -10.039497 1 
42 1 -6.593200 9.240092 -9.527517 1 
43 1 -6.891740 9.569154 -8.175271 1 
44 1 -7.258372 7.518884 -11.046356 1 
45 1 -7.344866 6.149971 -10.770994 1 
46 1 -9.783463 10.165468 -9.017819 1 
47 1 -8.471819 10.516352 -9.474267 1 
48 1 -7.829358 9.565325 -10.183513 1 

 Bonds 

    1 1 44 45
2 1 9 14
3 1 7 8
4 1 8 9
5 1 8 45
6 1 15 45
7 1 15 19
8 1 13 46
9 1 6 13
10 1 6 10
11 1 6 7
12 1 10 44
13 1 10 48
14 1 41 42
15 1 41 44
16 1 46 47
17 1 47 48
18 1 42 48
19 1 42 43
20 1 4 34
21 1 4 5
22 1 5 9
23 1 5 17
24 1 17 18
25 1 16 21
26 1 16 17
27 1 14 15
28 1 14 16
29 1 2 11
30 1 2 3
31 1 3 7
32 1 3 4
33 1 19 20
34 1 19 41
35 1 20 28
36 1 20 21
37 1 11 12
38 1 11 13
39 1 28 43
40 1 28 29
41 1 37 40
42 1 37 46
43 1 37 38
44 1 39 43
45 1 39 47
46 1 39 40
47 1 33 34
48 1 18 23
49 1 18 34
50 1 23 32
51 1 1 33
52 1 1 2
53 1 1 36
54 1 21 22
55 1 22 23
56 1 22 24
57 1 35 36
58 1 12 38
59 1 12 35
60 1 24 29
61 1 24 25
62 1 29 30
63 1 27 30
64 1 27 38
65 1 30 40
66 1 32 33
67 1 31 32
68 1 31 36
69 1 25 31
70 1 25 26
71 1 26 27
72 1 26 35
