LAMMPS data file via write_data, version 15 Sep 2022, timestep = 50000000

96 atoms
1 atom types
144 bonds
1 bond types
96 ellipsoids

-20 20 xlo xhi
-20 20 ylo yhi
-20 20 zlo zhi

Masses

1 1

Pair Coeffs # lj/cut

1 1 2.5

Bond Coeffs # fene

1 30 1.8 0 1

Atoms # hybrid

89 1 -10.86463726388502 -1.1406719415543793 -3.9101368539020593 0 -0.3305195169795493 0.45383434900134845 -0.8275211372298161 1 11.99524007821832 1 0 0 0
96 1 -11.127887852648989 0.20048718649395042 -3.7864218847065554 0 0.366578453025709 0.930385432701324 -0.001784487166727633 1 11.99524007821832 1 0 0 0
71 1 -10.0287452991945 0.9086807790824133 -3.5324978168375774 0 0.40579003111731266 0.7295938307873584 -0.5504791483088505 1 11.99524007821832 1 0 0 0
23 1 -11.075367213119108 -3.095303798105787 -2.5849474769183005 0 0.5560577742186154 0.4485857747570339 -0.6996931859155633 1 11.99524007821832 1 0 0 0
22 1 -11.658332503366267 -2.045482268934688 -3.2698285527572355 0 0.8396364737518639 0.4638360125631664 -0.28260705121252333 1 11.99524007821832 1 0 0 0
24 1 -9.729637479201909 -3.2276941346668577 -2.3622110870425135 0 -0.11578067564999056 -0.9787287120508955 0.1693662993432495 1 11.99524007821832 1 0 0 0
25 1 -8.859943658777905 -2.2258134508957244 -2.873059661421767 0 -0.9277033551358254 0.09537575515376777 0.36092928697818494 1 11.99524007821832 1 0 0 0
26 1 -7.740483130365808 -2.025653386551386 -2.2095604195328153 0 -0.9869922569188618 -0.14445445004925278 -0.07056342284200309 1 11.99524007821832 1 0 0 0
21 1 -12.893914904485248 -1.6226435567572002 -2.871677687876946 0 -0.34720315182245803 0.934353186834122 0.08021280207966434 1 11.99524007821832 1 0 0 0
95 1 -13.348079776618574 -0.3361927235188401 -3.1350756068341052 0 -0.916222404562531 0.12782186049701608 0.3797342193649861 1 11.99524007821832 1 0 0 0
