
    96 atoms
    144 bonds
    1 atom types
    1 bond types

    -20.000000 20.000000 xlo xhi
    -20.000000 20.000000 ylo yhi
    -20.000000 20.000000 zlo zhi

    Atoms 

    1 1 -10.691741 -3.756074 -0.423560 1 
2 1 -9.572096 -3.823503 1.527850 1 
3 1 -12.243602 -1.078847 3.094845 1 
4 1 -11.428064 -2.078840 2.740735 1 
5 1 -10.819975 -3.582593 0.946957 1 
6 1 -11.725398 -2.742163 1.504028 1 
7 1 -13.480635 1.267063 3.604729 1 
8 1 -14.545194 1.226163 1.690100 1 
9 1 -13.865712 0.505426 2.564079 1 
10 1 -13.310984 -0.723796 2.309560 1 
11 1 -14.908842 0.517694 0.446265 1 
12 1 -14.340804 -0.609319 0.152776 1 
13 1 -13.447961 -1.215502 0.978656 1 
14 1 -12.660435 -2.297767 0.616984 1 
15 1 -12.774116 -2.803496 -0.758899 1 
16 1 -11.760011 -3.417100 -1.321140 1 
17 1 -9.549134 -3.703111 -1.028933 1 
18 1 -8.367175 -3.524859 -0.375411 1 
19 1 -8.343435 -3.774177 0.938210 1 
20 1 -7.436209 -2.749056 -0.974088 1 
21 1 -12.893915 -1.622644 -2.871678 1 
22 1 -11.658333 -2.045482 -3.269829 1 
23 1 -11.075367 -3.095304 -2.584947 1 
24 1 -9.729637 -3.227694 -2.362211 1 
25 1 -8.859944 -2.225813 -2.873060 1 
26 1 -7.740483 -2.025653 -2.209560 1 
27 1 -14.394360 -1.003790 -1.168345 1 
28 1 -13.470434 -2.027546 -1.624830 1 
29 1 -6.588039 -1.884642 -0.207830 1 
30 1 -6.636209 -2.029545 1.112970 1 
31 1 -7.457927 -3.015008 1.679427 1 
32 1 -7.992755 -2.799496 2.909514 1 
33 1 -6.113855 -1.008353 1.847267 1 
34 1 -6.628254 -0.950390 3.191417 1 
35 1 -7.571371 -1.792574 3.658460 1 
36 1 -6.692766 0.382617 3.387393 1 
37 1 -7.644725 0.961079 4.243621 1 
38 1 -8.030839 2.230654 4.058835 1 
39 1 -6.568549 -0.663288 -0.779699 1 
40 1 -7.267903 -0.695776 -1.994628 1 
41 1 -8.540571 -1.221575 4.480879 1 
42 1 -8.451496 0.160257 4.870064 1 
43 1 -9.821311 3.746485 3.640944 1 
44 1 -9.357993 2.637060 4.549731 1 
45 1 -10.305111 1.766179 4.941289 1 
46 1 -9.764888 0.516380 5.189431 1 
47 1 -11.602914 4.491084 2.301482 1 
48 1 -11.182610 3.848820 3.464807 1 
49 1 -7.901782 2.894921 2.881103 1 
50 1 -8.891190 3.799752 2.596021 1 
51 1 -10.665409 -0.477394 4.811646 1 
52 1 -9.873493 -1.593616 4.431883 1 
53 1 -10.296466 -2.347267 3.335538 1 
54 1 -9.398399 -3.276613 2.816197 1 
55 1 -12.407747 0.797828 4.454956 1 
56 1 -11.837287 -0.306662 4.245306 1 
57 1 -11.609182 1.937142 4.729809 1 
58 1 -12.048194 3.066246 4.144503 1 
59 1 -12.820389 4.249523 1.749667 1 
60 1 -13.586927 3.256182 2.315005 1 
61 1 -13.308033 2.666016 3.475512 1 
62 1 -14.354515 2.550409 1.455769 1 
63 1 -12.582928 1.822775 -3.189050 1 
64 1 -13.606836 2.239670 -2.411280 1 
65 1 -12.692051 4.336505 0.357772 1 
66 1 -13.130517 3.426290 -1.751879 1 
67 1 -13.465348 3.564454 -0.457606 1 
68 1 -14.419130 2.766533 0.096383 1 
69 1 -10.788345 3.930170 -1.022024 1 
70 1 -11.319149 4.523890 0.079171 1 
71 1 -10.028745 0.908681 -3.532498 1 
72 1 -10.196154 2.075519 -2.860586 1 
73 1 -11.394208 2.644384 -2.932721 1 
74 1 -11.696491 3.482023 -1.952050 1 
75 1 -6.735965 0.397502 0.020502 1 
76 1 -6.175138 0.242669 1.239967 1 
77 1 -6.547958 1.187207 2.181263 1 
78 1 -9.013837 0.003218 -3.348551 1 
79 1 -7.984314 0.374147 -2.419427 1 
80 1 -8.293241 1.325300 -1.584774 1 
81 1 -7.613261 1.347849 -0.379661 1 
82 1 -8.046955 2.225471 0.606863 1 
83 1 -7.394212 2.163763 1.800858 1 
84 1 -10.624001 4.459387 1.184281 1 
85 1 -9.399398 3.994452 1.227107 1 
86 1 -9.336571 2.210870 -1.767645 1 
87 1 -9.613550 3.140451 -0.894714 1 
88 1 -8.972882 3.130832 0.325765 1 
89 1 -10.864637 -1.140672 -3.910137 1 
90 1 -9.421304 -1.276424 -3.694261 1 
91 1 -14.908609 1.507374 -0.560543 1 
92 1 -14.368412 1.273461 -1.765407 1 
93 1 -14.296377 0.002216 -2.176579 1 
94 1 -12.396495 0.583235 -3.548032 1 
95 1 -13.348080 -0.336193 -3.135076 1 
96 1 -11.127888 0.200487 -3.786422 1 

 Bonds 

    1 1 89 96
2 1 89 90
3 1 71 78
4 1 71 96
